1,32,22,30,25,22,33,7,49,35,9,40,30
2,1,4,35,14,23,21,34,15,48,48,47,28
3,31,38,35,1,43,21,49,50,10,50,39,16
4,9,16,15,48,38,28,24,20,14,20,48,40
5,14,37,32,50,43,41,49,47,16,5,44,45
6,37,25,30,17,21,31,11,7,39,18,2,41
7,30,49,26,15,43,41,19,46,26,49,9,46
8,9,36,11,5,27,18,49,10,38,28,26,46
9,6,18,7,10,26,8,49,3,8,44,23,11
10,13,7,47,49,19,27,23,13,22,6,36,46
11,8,29,49,5,7,2,23,20,11,23,49,34
12,5,26,44,1,10,35,7,26,43,45,2,49
13,25,33,35,31,36,12,4,47,36,5,41,10
14,31,10,47,38,34,21,28,25,14,16,3,11
15,9,8,14,2,34,5,48,42,20,35,47,28
16,20,5,24,1,2,7,16,41,13,18,36,28
17,39,11,26,30,34,20,12,33,47,1,28,5
18,4,28,2,36,18,39,4,25,26,27,33,36
19,44,2,45,47,37,23,21,11,37,50,14,2
20,14,8,35,5,38,50,35,7,24,7,8,5
21,3,30,50,45,11,29,39,3,48,47,14,33
22,41,9,33,13,8,48,38,35,5,19,25,29
23,37,31,47,23,29,1,33,25,11,14,6,5
24,35,38,1,46,9,33,16,48,27,23,36,24
25,46,11,14,45,34,21,13,41,6,7,28,50
26,17,34,38,25,45,35,17,50,21,42,44,8
27,12,26,34,31,30,27,8,48,34,29,32,11
28,41,3,39,50,2,18,46,29,17,32,37,12
29,37,11,49,26,4,9,42,50,28,5,9,41
30,5,44,43,28,17,39,39,35,21,21,18,16
31,47,29,10,32,35,38,17,35,13,47,11,28
32,20,13,12,12,36,25,24,39,33,43,29,10
33,3,30,4,16,9,5,26,21,48,26,20,23
34,13,10,39,38,25,21,14,40,36,46,42,4
35,23,13,4,3,31,38,11,21,32,6,12,49
36,14,39,21,21,44,46,7,24,24,28,13,39
37,8,23,37,8,20,13,13,38,20,33,30,10
38,2,34,12,33,30,43,9,39,5,33,10,46
39,4,6,39,37,50,50,36,48,38,7,6,43
40,44,15,12,47,2,33,32,47,39,5,30,49
41,3,26,30,40,30,29,25,17,7,18,44,9
42,14,14,50,21,31,31,25,49,30,30,6,19
43,26,7,10,27,47,16,31,24,35,8,33,32
44,29,49,16,28,33,5,26,44,30,1,1,39
45,10,21,8,31,2,43,24,23,23,4,34,18
46,8,12,20,41,27,35,30,48,45,11,22,46
47,29,4,39,21,44,38,50,42,47,31,9,38
48,35,10,25,25,42,47,33,25,23,24,1,30
49,19,40,49,41,19,12,24,49,47,3,41,28
50,33,21,11,21,49,29,34,26,40,35,30,9
51,17,6,14,37,33,21,15,43,19,22,47,49
52,8,43,39,3,2,39,42,42,6,21,34,29
53,49,36,42,21,6,16,11,28,50,48,50,9
54,7,25,20,35,46,29,24,36,46,29,48,48
55,16,7,25,50,37,48,34,45,26,11,24,32
56,43,45,18,8,43,16,23,45,35,34,42,26
57,41,50,13,3,49,29,49,8,48,1,24,44
58,38,2,50,31,7,17,3,3,11,48,12,27
59,10,21,39,12,45,37,31,30,23,42,38,14
60,29,17,22,17,12,43,46,28,29,6,6,23
61,18,27,26,22,35,49,4,11,34,8,25,22
62,48,8,32,21,31,10,10,18,33,4,27,22
63,7,42,24,21,21,10,46,7,22,30,16,40
64,49,18,15,49,40,11,24,34,21,48,2,50
65,15,26,28,32,1,15,14,30,10,8,19,13
66,7,2,49,33,45,26,5,32,29,9,1,6
67,18,49,5,42,25,43,37,13,32,18,16,36
68,40,27,24,8,13,9,39,50,48,35,35,6
69,20,26,29,33,19,1,11,13,8,13,41,7
70,36,15,28,47,46,36,20,4,21,28,50,27
71,35,2,22,32,47,30,21,42,11,32,18,22
72,11,24,50,46,42,6,34,2,48,43,14,26
73,43,25,35,32,24,11,9,11,11,50,35,42
74,8,20,23,24,35,48,48,8,46,17,24,25
75,43,29,24,4,47,38,6,28,43,44,16,50
76,4,23,34,45,12,30,50,4,42,11,11,46
77,23,45,38,5,30,40,50,45,1,27,48,46
78,48,33,9,40,24,21,42,29,8,40,38,46
79,2,37,35,6,41,14,37,16,39,41,47,9
80,17,41,16,30,19,29,1,32,17,2,45,41
81,44,9,23,4,15,9,18,12,38,11,41,31
82,10,7,32,21,39,23,41,31,27,43,2,25
83,7,32,25,35,8,20,47,4,45,24,4,39
84,28,39,14,19,41,31,25,1,5,44,36,7
85,22,17,2,11,47,2,15,24,13,11,6,20
86,35,50,6,33,7,9,41,41,38,31,46,23
87,10,22,12,37,22,33,50,11,10,4,15,16
88,24,50,16,22,6,10,48,40,45,28,31,19
89,45,24,39,27,49,17,16,25,36,44,12,25
90,41,11,49,18,21,10,14,36,18,47,25,44
91,43,9,35,48,36,43,26,14,45,10,25,14
92,42,27,39,43,28,41,44,3,42,2,43,11
93,49,8,48,6,47,30,21,23,45,37,27,30
94,27,7,34,11,28,4,24,47,3,24,24,8
95,9,15,45,12,25,49,1,39,50,9,34,13
96,44,21,26,13,2,22,41,22,17,9,29,25
97,20,12,13,20,6,7,39,39,6,21,18,21
98,30,40,16,36,11,21,3,3,26,41,18,28
99,49,37,35,39,32,40,16,44,41,23,16,49
100,35,50,41,50,18,7,40,25,50,38,13,18
101,45,36,48,26,35,35,50,11,7,41,19,20
102,22,35,31,20,9,41,48,4,40,49,40,22
103,21,9,46,14,26,26,30,45,8,44,11,22
104,49,19,2,48,10,28,15,3,11,21,40,11
105,29,48,45,20,7,13,32,15,31,22,42,32
106,8,9,13,35,45,39,45,18,42,32,4,15
107,29,38,45,29,49,7,33,43,12,18,9,12
108,29,10,5,43,6,17,33,11,4,17,37,40
109,30,34,12,4,27,17,36,3,29,25,21,32
110,30,33,48,28,2,24,50,45,27,49,25,50
111,15,38,30,18,43,3,43,50,13,37,19,12
112,24,43,44,41,15,5,31,43,9,37,20,25
113,32,37,11,31,46,6,49,14,3,19,22,20
114,39,33,19,34,43,6,48,17,33,38,25,39
115,43,48,27,31,34,50,11,34,7,14,14,7
116,44,19,41,41,4,26,35,20,41,23,26,48
117,27,24,34,47,15,7,43,12,29,25,43,3
118,12,13,9,8,29,35,16,25,40,22,43,15
119,29,37,27,20,38,22,1,23,21,37,21,10
120,3,15,29,42,44,3,2,47,30,7,18,40
121,37,12,37,42,1,34,16,49,46,19,36,26
122,9,35,44,17,8,45,19,50,47,24,21,24
123,18,9,29,47,30,16,47,4,41,50,36,14
124,39,6,40,42,10,28,44,21,36,6,19,5
125,38,20,35,6,28,13,22,27,43,44,3,18
126,47,24,2,27,16,27,27,9,35,13,35,11
127,33,36,29,1,39,4,14,26,30,36,14,11
128,3,47,37,33,10,21,4,28,34,48,15,18
129,40,36,10,33,34,11,43,17,44,13,23,26
130,16,36,48,13,7,26,11,13,28,49,33,1
131,44,36,18,38,46,4,15,36,43,42,40,46
132,41,26,22,31,1,48,6,48,14,22,20,35
133,47,3,35,42,13,39,12,35,41,17,3,19
134,12,13,40,28,50,26,45,15,44,8,22,15
135,25,14,2,26,38,33,10,30,6,9,6,37
136,24,8,44,36,16,37,33,41,13,9,44,44
137,49,17,33,44,27,21,50,50,19,43,50,26
138,24,2,6,29,35,7,8,36,8,29,41,39
139,33,8,20,32,48,34,30,42,13,37,8,22
140,31,25,2,29,9,7,6,50,12,18,25,35
141,18,41,21,29,28,27,46,4,27,15,25,37
142,1,33,47,18,15,40,44,14,47,49,48,29
143,49,47,39,32,12,7,22,40,40,39,30,4
144,25,29,46,12,20,28,49,20,10,47,18,28
145,21,17,36,50,19,15,8,42,35,20,12,48
